MTHD,MODL,NTAX,NGEN,TRLN,REPL,DATA,DMAT,STRE,SMAX,SECS
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,03,intron,AGID,SVDquartets,30,23.994615983962998
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,03,intron,log-det,SVDquartets,30,74.7
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,03,intron,log-det,SVDquartets,30,24.35
RAxML,100tax+75gen,100,75,10M,03,intron,NA,RAxML,NA,211.729004
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,03,intron,AGID,RAxML,30,70.696099983963
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,03,intron,AGID,RAxML,30,30.719648983962998
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,03,intron,log-det,RAxML,30,84.026527
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,03,intron,log-det,RAxML,30,30.664834
ASTRAL,100tax+75gen,100,75,10M,04,exon,NA,ASTRAL,NA,5.991
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,04,exon,AGID,ASTRAL,30,24.880811964034997
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,04,exon,AGID,ASTRAL,30,11.227811964035
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,04,exon,log-det,ASTRAL,30,9.507
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,04,exon,log-det,ASTRAL,30,6.242
SVDquartets,100tax+75gen,100,75,10M,04,exon,NA,SVDquartets,NA,200
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,04,exon,AGID,SVDquartets,30,68.81481196403502
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,04,exon,AGID,SVDquartets,30,26.174811964034998
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,04,exon,log-det,SVDquartets,30,75.16
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,04,exon,log-det,SVDquartets,30,23.63
RAxML,100tax+75gen,100,75,10M,04,exon,NA,RAxML,NA,94.425222
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,04,exon,AGID,RAxML,30,21.524699964035
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,04,exon,AGID,RAxML,30,12.082235964035
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,04,exon,log-det,RAxML,30,24.708212
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,04,exon,log-det,RAxML,30,12.081476
ASTRAL,100tax+75gen,100,75,10M,04,intron,NA,ASTRAL,NA,4.427
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,04,intron,AGID,ASTRAL,30,23.2676410179138
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,04,intron,AGID,ASTRAL,30,10.9516410179138
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,04,intron,log-det,ASTRAL,30,9.515
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,04,intron,log-det,ASTRAL,30,6.914
SVDquartets,100tax+75gen,100,75,10M,04,intron,NA,SVDquartets,NA,261
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,04,intron,AGID,SVDquartets,30,62.1546410179138
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,04,intron,AGID,SVDquartets,30,22.1546410179138
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,04,intron,log-det,SVDquartets,30,63.92999999999999
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,04,intron,log-det,SVDquartets,30,26.44
RAxML,100tax+75gen,100,75,10M,04,intron,NA,RAxML,NA,148.299565
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,04,intron,AGID,RAxML,30,22.264039017913802
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,04,intron,AGID,RAxML,30,12.2548210179138
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,04,intron,log-det,RAxML,30,27.422235
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,04,intron,log-det,RAxML,30,17.502555
ASTRAL,100tax+75gen,100,75,10M,05,exon,NA,ASTRAL,NA,5.172
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,05,exon,AGID,ASTRAL,30,28.378910026550297
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,05,exon,AGID,ASTRAL,30,12.2589100265503
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,05,exon,log-det,ASTRAL,30,11.053
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,05,exon,log-det,ASTRAL,30,8.133
SVDquartets,100tax+75gen,100,75,10M,05,exon,NA,SVDquartets,NA,225
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,05,exon,AGID,SVDquartets,30,76.23391002655029
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,05,exon,AGID,SVDquartets,30,25.5139100265503
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,05,exon,log-det,SVDquartets,30,81.39
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,05,exon,log-det,SVDquartets,30,28.56
RAxML,100tax+75gen,100,75,10M,05,exon,NA,RAxML,NA,167.110554
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,05,exon,AGID,RAxML,30,42.4943250265503
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,05,exon,AGID,RAxML,30,23.1267720265503
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,05,exon,log-det,RAxML,30,48.204537
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,05,exon,log-det,RAxML,30,30.925354
ASTRAL,100tax+75gen,100,75,10M,05,intron,NA,ASTRAL,NA,5.528
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,05,intron,AGID,ASTRAL,30,25.961047117233303
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,05,intron,AGID,ASTRAL,30,10.3700471172333
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,05,intron,log-det,ASTRAL,30,11.549
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,05,intron,log-det,ASTRAL,30,9.148
SVDquartets,100tax+75gen,100,75,10M,05,intron,NA,SVDquartets,NA,241
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,05,intron,AGID,SVDquartets,30,73.9040471172333
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,05,intron,AGID,SVDquartets,30,26.8540471172333
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,05,intron,log-det,SVDquartets,30,77.19
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,05,intron,log-det,SVDquartets,30,29.7
RAxML,100tax+75gen,100,75,10M,05,intron,NA,RAxML,NA,200.962219
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,05,intron,AGID,RAxML,30,43.7707971172333
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,05,intron,AGID,RAxML,30,16.1541741172333
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,05,intron,log-det,RAxML,30,44.977794
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,05,intron,log-det,RAxML,30,19.480377
ASTRAL,100tax+75gen,100,75,10M,06,exon,NA,ASTRAL,NA,4.276
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,06,exon,AGID,ASTRAL,30,21.363270992279098
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,06,exon,AGID,ASTRAL,30,9.9082709922791
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,06,exon,log-det,ASTRAL,30,9.266
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,06,exon,log-det,ASTRAL,30,7.061
SVDquartets,100tax+75gen,100,75,10M,06,exon,NA,SVDquartets,NA,240
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,06,exon,AGID,SVDquartets,30,80.7242709922791
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,06,exon,AGID,SVDquartets,30,31.9042709922791
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,06,exon,log-det,SVDquartets,30,73.96000000000001
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,06,exon,log-det,SVDquartets,30,26.96
RAxML,100tax+75gen,100,75,10M,06,exon,NA,RAxML,NA,144.824651
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,06,exon,AGID,RAxML,30,37.4802739922791
"NJMerge(RAxML,AGID)-Parallel",100tax+75gen,100,75,10M,06,exon,AGID,RAxML,30,16.7268309922791
"NJMerge(RAxML,log-det)-Serial",100tax+75gen,100,75,10M,06,exon,log-det,RAxML,30,33.880282
"NJMerge(RAxML,log-det)-Parallel",100tax+75gen,100,75,10M,06,exon,log-det,RAxML,30,16.733947
ASTRAL,100tax+75gen,100,75,10M,06,intron,NA,ASTRAL,NA,4.973
"NJMerge(ASTRAL,AGID)-Serial",100tax+75gen,100,75,10M,06,intron,AGID,ASTRAL,30,20.6898928604126
"NJMerge(ASTRAL,AGID)-Parallel",100tax+75gen,100,75,10M,06,intron,AGID,ASTRAL,30,10.0628928604126
"NJMerge(ASTRAL,log-det)-Serial",100tax+75gen,100,75,10M,06,intron,log-det,ASTRAL,30,7.938000000000001
"NJMerge(ASTRAL,log-det)-Parallel",100tax+75gen,100,75,10M,06,intron,log-det,ASTRAL,30,5.798
SVDquartets,100tax+75gen,100,75,10M,06,intron,NA,SVDquartets,NA,261
"NJMerge(SVDquartets,AGID)-Serial",100tax+75gen,100,75,10M,06,intron,AGID,SVDquartets,30,74.6038928604126
"NJMerge(SVDquartets,AGID)-Parallel",100tax+75gen,100,75,10M,06,intron,AGID,SVDquartets,30,27.343892860412602
"NJMerge(SVDquartets,log-det)-Serial",100tax+75gen,100,75,10M,06,intron,log-det,SVDquartets,30,78.02
"NJMerge(SVDquartets,log-det)-Parallel",100tax+75gen,100,75,10M,06,intron,log-det,SVDquartets,30,28.97
RAxML,100tax+75gen,100,75,10M,06,intron,NA,RAxML,NA,194.272749
"NJMerge(RAxML,AGID)-Serial",100tax+75gen,100,75,10M,06,intron,AGID,RAxML,30,66.1714928604126
