MODL,NTAX,NGEN,TRLN,REPL,DATA,MTHD,SMAX,DMAT,STRE,SENL,SEI1,SEI2,SEFP,SEFN,SERF
"100tax+75gen",100,75,10M,03,exon,"RAxML",NA,NA,RAxML,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,03,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,5,5,0.051020
"100tax+75gen",100,75,10M,03,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,5,5,0.051020
"100tax+75gen",100,75,10M,03,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,1,1,0.010204
"100tax+75gen",100,75,10M,03,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,2,2,0.020408
"100tax+75gen",100,75,10M,03,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,7,7,0.071429
"100tax+75gen",100,75,10M,03,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,12,12,0.122449
"100tax+75gen",100,75,10M,03,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,03,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,03,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,7,7,0.071429
"100tax+75gen",100,75,10M,03,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,8,8,0.081633
"100tax+75gen",100,75,10M,03,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,7,7,0.071429
"100tax+75gen",100,75,10M,03,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,8,8,0.081633
"100tax+75gen",100,75,10M,03,intron,"RAxML",NA,NA,RAxML,101,98,98,3,3,0.030612
"100tax+75gen",100,75,10M,03,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,5,5,0.051020
"100tax+75gen",100,75,10M,03,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,03,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,1,1,0.010204
"100tax+75gen",100,75,10M,03,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,2,2,0.020408
"100tax+75gen",100,75,10M,04,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,19,19,0.193878
"100tax+75gen",100,75,10M,04,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,20,20,0.204082
"100tax+75gen",100,75,10M,04,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,14,14,0.142857
"100tax+75gen",100,75,10M,04,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,14,14,0.142857
"100tax+75gen",100,75,10M,04,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,15,15,0.153061
"100tax+75gen",100,75,10M,04,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,20,20,0.204082
"100tax+75gen",100,75,10M,04,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,17,17,0.173469
"100tax+75gen",100,75,10M,04,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,19,19,0.193878
"100tax+75gen",100,75,10M,04,exon,"RAxML",NA,NA,RAxML,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,04,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,12,12,0.122449
"100tax+75gen",100,75,10M,04,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,11,11,0.112245
"100tax+75gen",100,75,10M,04,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,8,8,0.081633
"100tax+75gen",100,75,10M,04,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,04,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,04,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,15,15,0.153061
"100tax+75gen",100,75,10M,04,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,9,9,0.091837
"100tax+75gen",100,75,10M,04,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,7,7,0.071429
"100tax+75gen",100,75,10M,04,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,10,10,0.102041
"100tax+75gen",100,75,10M,04,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,12,12,0.122449
"100tax+75gen",100,75,10M,04,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,12,12,0.122449
"100tax+75gen",100,75,10M,04,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,15,15,0.153061
"100tax+75gen",100,75,10M,04,intron,"RAxML",NA,NA,RAxML,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,04,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,5,5,0.051020
"100tax+75gen",100,75,10M,04,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,04,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,2,2,0.020408
"100tax+75gen",100,75,10M,04,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,4,4,0.040816
"100tax+75gen",100,75,10M,05,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,33,33,0.336735
"100tax+75gen",100,75,10M,05,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,39,39,0.397959
"100tax+75gen",100,75,10M,05,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,23,23,0.234694
"100tax+75gen",100,75,10M,05,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,26,26,0.265306
"100tax+75gen",100,75,10M,05,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,26,26,0.265306
"100tax+75gen",100,75,10M,05,exon,"SVDquartets",NA,NA,SVDquartets,101,98,98,30,30,0.306122
"100tax+75gen",100,75,10M,05,exon,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,33,33,0.336735
"100tax+75gen",100,75,10M,05,exon,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,32,32,0.326531
"100tax+75gen",100,75,10M,05,exon,"RAxML",NA,NA,RAxML,101,98,98,6,6,0.061224
"100tax+75gen",100,75,10M,05,exon,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,18,18,0.183673
"100tax+75gen",100,75,10M,05,exon,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,18,18,0.183673
"100tax+75gen",100,75,10M,05,exon,"NJMerge(True,AGID)",30,AGID,True,101,98,98,18,18,0.183673
"100tax+75gen",100,75,10M,05,exon,"NJMerge(True,log-det)",30,log-det,True,101,98,98,16,16,0.163265
"100tax+75gen",100,75,10M,05,intron,"NJ(AGID)",NA,AGID,NJ,101,98,98,18,18,0.183673
"100tax+75gen",100,75,10M,05,intron,"NJ(log-det)",NA,log-det,NJ,101,98,98,34,34,0.346939
"100tax+75gen",100,75,10M,05,intron,"ASTRAL",NA,NA,ASTRAL,101,98,98,15,15,0.153061
"100tax+75gen",100,75,10M,05,intron,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,16,16,0.163265
"100tax+75gen",100,75,10M,05,intron,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,22,22,0.224490
"100tax+75gen",100,75,10M,05,intron,"SVDquartets",NA,NA,SVDquartets,101,98,98,31,31,0.316327
"100tax+75gen",100,75,10M,05,intron,"NJMerge(SVDquartets,AGID)",30,AGID,SVDquartets,101,98,98,25,25,0.255102
"100tax+75gen",100,75,10M,05,intron,"NJMerge(SVDquartets,log-det)",30,log-det,SVDquartets,101,98,98,28,28,0.285714
"100tax+75gen",100,75,10M,05,intron,"RAxML",NA,NA,RAxML,101,98,98,5,5,0.051020
"100tax+75gen",100,75,10M,05,intron,"NJMerge(RAxML,AGID)",30,AGID,RAxML,101,98,98,13,13,0.132653
"100tax+75gen",100,75,10M,05,intron,"NJMerge(RAxML,log-det)",30,log-det,RAxML,101,98,98,23,23,0.234694
"100tax+75gen",100,75,10M,05,intron,"NJMerge(True,AGID)",30,AGID,True,101,98,98,7,7,0.071429
"100tax+75gen",100,75,10M,05,intron,"NJMerge(True,log-det)",30,log-det,True,101,98,98,17,17,0.173469
"100tax+75gen",100,75,10M,06,exon,"NJ(AGID)",NA,AGID,NJ,101,98,98,0,0,0.000000
"100tax+75gen",100,75,10M,06,exon,"NJ(log-det)",NA,log-det,NJ,101,98,98,7,7,0.071429
"100tax+75gen",100,75,10M,06,exon,"ASTRAL",NA,NA,ASTRAL,101,98,98,0,0,0.000000
"100tax+75gen",100,75,10M,06,exon,"NJMerge(ASTRAL,AGID)",30,AGID,ASTRAL,101,98,98,0,0,0.000000
"100tax+75gen",100,75,10M,06,exon,"NJMerge(ASTRAL,log-det)",30,log-det,ASTRAL,101,98,98,3,3,0.030612
