0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
uce-7558,0.0,0.003654710588,-0.001450893085,-0.002968038918,-0.0021680272829999996,0.005817747025999999,-0.011766572805999999,0.002206075638000002,-0.006482779132999999,-0.004071816964999999,-0.009014901176999999,-0.013253143744,-0.012897774604999999,-0.010044790878000002,-0.011074075941000001,-0.009242478153999999,-0.011386138753,-0.009427670757,-0.007438973733000001,-0.009632528166,-0.008158529401999999,-0.013774962509999999,-0.009705938197,-0.004796065596,-0.0027795168260000003,-0.0027524043320000004,-0.003950598916000001,-0.007428756847000001,-0.009031342650000001,-0.013085514229
uce-7559,0.0,0.006854198804,-0.015911641217000002,-0.009233520552000002,-0.005957780669999999,0.0025982891700000003,-0.012245091053999999,-0.0011760196369999983,-0.009707206661,-0.007622159776000002,-0.008478533032999998,-0.007931708753000002,-0.01091034825,-0.007550851341,-0.009711050023999999,-0.009215942397,-0.006851730146999999,-0.015522359033000001,-0.022669994082,-0.016459490546000002,-0.010518967046,-0.006755468212,-0.0008063228299999992,-0.0033301674709999996,-0.007234381875000001,-0.009967567668,-0.014719615779,-0.008724318561,-0.010773793225000002,-0.013367632562000001
uce-7566,0.0,0.0018119548660000002,-0.007822481477,-0.002506454647999999,-0.006338869024000002,-0.008912345729999998,-0.015792662752,-0.010983251622,-0.020870725162,-0.016008017111,-0.015892827023,-0.014763388412,-0.015123162232000002,-0.010466354508999999,-0.013155452218,-0.007564822245,-0.010878939950000001,-0.015498421941999999,-0.015473259611999999,-0.008358699941,-0.0034117368139999996,-0.0114441721,-0.009668021332000001,-0.010059681165,-0.013462596815,-0.011977654229999999,-0.012643005565,-0.010882747188000001,-0.013155452218,-0.007339021129
uce-7606,0.0,0.001118702657,-0.013290215132000002,-0.0062702429890000005,-0.008565027633,-0.004527547291999999,-0.015463728221000003,-0.008964341754000002,-0.005329240860000001,-0.004589168663000001,-0.0071632625719999996,-0.004956789676,-0.00499995446,-0.0034575881890000007,-0.006946515901000001,-0.008054067365,-0.005836241993000001,-0.0034578935040000007,-0.009677911181,-0.005497422864,0.0013336792559999998,-0.009995338829,-0.0016429768969999994,-0.012947177266,0.0009003228179999996,0.0015373421250000005,-0.007505460056,-0.007644133914000001,-0.009854057536,-0.005503730746000001
uce-7610,0.0,0.0058987595240000005,-0.013868355205,-0.004573659755000001,-0.008265342364,0.00018522338500000061,-0.012123342542000001,-0.0047504118939999986,-0.009771302534,-0.009670619366000001,-0.008971886798,-0.005344558223,-0.00839658457,-0.012101368937,-0.010607754092,-0.012580841209000002,-0.010200145400000001,-0.012029543459000001,-0.016143762446,-0.016534944151,-0.007432046148999999,-0.008399944317999999,-0.0040561034869999995,-0.006321310398999999,-0.009161367976000001,-0.007295087444999999,-0.011180988489,-0.013448020481000002,-0.009175600289,-0.012432430263000002
uce-7622,0.0,0.003173898377,-0.0068779104709999995,-0.002892135366,-0.001808065888000001,-0.0007761745390000001,-0.009735253481,0.003816921676,-0.008624735523,-0.005299621842,-0.0053011334140000005,-0.0015611724139999996,-0.008391197411,-0.006098920741,-0.007889830859999999,-0.006456772579,-0.0033050883879999996,-0.008229829263999998,-0.002807778860999999,-0.004707712116999999,0.0038114169000000014,-0.004686779778999999,-0.0013664541350000003,-0.006409149443999999,0.0006381165790000001,-0.013351931868,-0.015267564375,-0.009349814009999999,-0.009824495931999999,-0.006785686534
uce-7632,0.0,0.002681269804,-0.008717494018,-0.005009657274999999,-0.004792874775000001,-0.0013538810730000014,-0.008747086437999999,-0.00019796595400000012,-0.011498031033,-0.009858772736,-0.006975922749,-0.004765067125,-0.005928950153,-0.005461161983,-0.007309682536000001,-0.004069714655,-0.0038981569750000007,-0.0016136877910000007,-0.010907276639,-0.012702728729999998,-0.005815155329,-0.004792874775000001,-0.007731900288999999,-0.005272791933000001,-0.0031415576379999997,-0.006286611266,-0.011378026887,-0.01026126707,-0.00569859117,-0.004902815340999999
uce-7649,0.0,0.0032775770530000005,-0.020545281553,-0.012703895294999998,-0.011204066627999998,-4.181624900000125e-05,-0.017370503750000002,0.005137867109000001,-0.02419993308,-0.023021851954,-0.018717507933,-0.013526116638999998,-0.011202892583,-0.012326783695999998,-0.020283785218,-0.013010288959,-0.017447878886999998,-0.017963677373000003,-0.020108487183000002,-0.016664475748,-0.00336863506,-0.011484422416999998,-0.0070406098309999995,-0.006572641209999999,-0.0049105276699999995,-0.019071674082,-0.019276382513,-0.016912838521999998,-0.014092923956999999,-0.013817425636999999
uce-7656,0.0,0.005254185417,-0.008830320636999999,0.0015039310389999977,0.0035576457089999992,0.007998681349999998,-0.013655221095,0.003645626399000002,-0.013237654747999998,-0.003922035749,-0.002507800315999998,-0.0026522783200000014,-0.009490060375000001,-0.013717192109,-0.013747272788,-0.016474250450000002,-0.013945056851,-0.009715865609999999,-0.006813568645999999,-0.004916787975,7.914463100000199e-05,-0.019131491793,0.0021634211140000026,-0.006611474581000001,-0.002470389003999998,-0.004744315759000001,-0.018640300962,-0.010313184732999997,-0.022267824715000002,-0.011491366601000001
uce-7657,0.0,0.002620226435,-0.012712563288,-0.00890665578,-0.0025154006410000006,0.006526142645,-0.007726825956000001,0.0077675404900000005,-0.00881101678,-0.009882064155999999,-0.023941723432,-0.014353466483000002,-0.020247050341,-0.02288803676,-0.020301898001,-0.018761931052,-0.01499545918,-0.012302389100000002,-0.018761931052,-0.01499545918,-0.009417264327999999,-0.014236257696,-0.010689595981999998,-0.008922803139,-0.008147670724,-0.012374927140999999,-0.015638701140000003,-0.01499545918,-0.018761931052,-0.014580752684000001
